位号,型号/规格,封装,数量,立创编号,用途
U1,USB2514B-AEZC-TR,VQFN-36-EP 6x6,1,C16251,USB 2.0 4口Hub
U2,SI4732-A10-GSR,SOIC-16,1,C2155558,AM/FM/LW/SW接收+I2S输出
U3,TMAG5273A1QDBVT,SOT-23-6,1,C5220660,3轴磁力计（电子罗盘）
U4,ESP32-S3-WROOM-1-N8R8,SMD模组41脚,1,C2913201,主控WiFi+BLE+USB
U5,BMI260,LGA-14 2.5x3,1,C7544197,6轴IMU（加速度+陀螺）
U6,ATGM336H-5NR32-G,SMD模组,1,C49233943,GPS+北斗+GLONASS
U7,AMS1117-3.3,SOT-223,1,C6186,5V转3.3V LDO
J1,KH-TYPE-C-6P 卧贴,SMD 6P,1,,Type-C供电+数据
USB1,USB-A母座卧贴,SMD,1,,USB扩展口
RF1,BWSMA-KE-Z001 SMA直插,直插,1,,SDR天线
RF2,HMTConn u.FL贴片,SMD,1,,GPS天线
SW1,TS-1101-C-W 按钮,SMD,1,,ESP32复位
LED1-4,LTSTC190KYKT 黄光,0603,4,,状态指示
X1,FC-135 32.768kHz 无源晶振,3215,1,,SI4732参考时钟
X2,24MHz 无源晶振,3225,1,,USB2514B时钟
C1,12pF C0G ±5% 50V,0402,1,,SI4732晶振负载
C17,C18,18pF C0G ±5% 50V,0402,2,,USB2514B晶振负载
C3,C4,C5,C6,C8,C10,C12,C13,C14,C16,C19,C20,C21,C22,C23,C24,100nF X7R ±10% 50V,0402,16,,去耦/隔直/滤波
C7,C9,C11,C15,10μF X5R ±20% 16V,0805,4,,电源滤波
R1-R4,1kΩ ±1% 1/16W,0402,4,,LED限流
R5,R6,4.7kΩ ±1%,0402,2,,I2C上拉
R7,R8,R11,R13,R14,R15,R16,10kΩ ±1%,0402,7,,上拉/下拉/配置
R9,R10,5.1kΩ ±1%,0402,2,,Type-C CC下拉
R12,12kΩ ±1%,0402,1,,USB2514B RBIAS偏置
R17,R18,100kΩ ±1%,0402,2,,VBUS_DET分压
R19,4.7kΩ ±1%,0402,1,,SI4732 RST上拉
L1,68nH（可选不焊）,0402,0,,AM天线匹配
L2,100nH,0402,1,,GPS有源天线馈电感
F1,自恢复保险丝 500mA,0805,1,,Type-C输入过流保护
